环片号码,管理行程,记录日期,记录时刻,土仓内土压(左),后筒体俯仰角,回转角,螺旋机回转速度,千斤顶总推力,推力指数,刀盘回转速度,刀盘马达总扭距,扭矩指数,螺旋机扭距,推进速度,能耗,贯入度,地表变形
314,1553,2015-2-8,0:32:52,0.26,-1.79,-0.07,0,32318,6018.92204,0.7,3144,13.58242839,6.95,17,28563.69869,0.024285714,-46.2564
315,1586,2015-2-8,8:33:50,0.27,-1.82,0.01,0,31692,5902.335456,0.7,2959,12.78320789,1.89,14,32466.44459,0.02,-46.95
316,1557,2015-2-15,17:06:09,0.22,-1.84,0.21,0,31567,5879.055388,0.66,3339,14.42485,2,13,37039.13122,0.01969697,-43.018
317,1409,2015-2-16,1:38:48,0.26,-1.71,0.24,0.8,29655,5522.96346,0.7,4205,18.16606596,2.04,20,32233.15553,0.028571429,-39.086
318,1611,2015-2-16,16:03:07,0.25,-1.56,0.32,0.1,27308,5085.856893,0.7,4010,17.32364435,2,17,35961.34807,0.024285714,-35.154
319,1542,2015-2-17,1:11:16,0.23,-1.26,0.22,0.2,28093,5232.055723,0.68,4278,18.48143405,2,20,31814.74767,0.029411765,-31.222
320,1413,2015-2-18,0:51:05,0.23,-1.18,-0.18,0.1,28792,5362.237866,0.88,4252,18.36911117,2.11,22,37064.52342,0.025,-27.29
321,1519,2015-2-18,4:55:40,0.25,-1.16,-0.1,1.9,23321,4343.315827,1.1,4158,17.96302075,7.64,34,29334.43632,0.030909091,-27.64225
322,1614,2015-2-18,13:19:53,0.26,-1.19,0.17,1.1,28133,5239.505345,0.73,3818,16.49418307,1.97,18,33808.50474,0.024657534,-27.9945
323,1447,2015-2-21,18:08:04,0.23,-1.09,-0.3,0,28398,5288.85909,0.82,3851,16.63674673,2.04,22,31418.74126,0.026829268,-28.34675
324,1479,2015-2-23,10:20:13,0.28,-1.07,-0.21,1.7,27522,5125.71237,0.89,3845,16.61082607,1.89,21,35509.60668,0.023595506,-28.699
325,1501,2015-2-23,14:16:43,0.28,-1.08,0.23,0.5,26886,5007.263381,0.75,3565,15.40119504,2.07,22,26698.4904,0.029333333,-29.05125
326,1605,2015-2-24,12:53:10,0.25,-1.12,0.01,0,27659,5151.227325,0.89,3610,15.59560003,1.89,21,33400.78674,0.023595506,-29.4035
327,1524,2015-2-25,13:42:39,0.23,-1.29,-0.18,0,28646,5335.046746,0.83,3690,15.94120889,1.93,21,31916.37516,0.025301205,-29.75575
328,1527,2015-2-26,0:37:36,0.26,-1.26,-0.2,0,28662,5338.026595,0.79,3569,15.41847548,1.93,22,28164.44911,0.027848101,-30.108
329,1545,2015-2-26,5:22:42,0.26,-1.29,-0.12,0,30006,5588.333892,0.75,3106,13.41826418,2.07,17,30092.08315,0.022666667,-30.46025
330,1565,2015-2-28,13:40:13,0.28,-1.29,0.09,0.1,31328,5834.543897,0.7,3033,13.10289609,2.11,17,27560.34978,0.024285714,-30.8125
331,1461,2015-2-28,21:26:09,0.24,-1.32,0.02,0,30372,5656.497933,0.7,2855,12.33391636,2.11,16,27531.86893,0.022857143,-31.16475
332,1554,2015-3-1,3:04:31,0.27,-1.33,0.27,0,30481,5676.798152,0.7,2803,12.1092706,2.11,18,24161.36362,0.025714286,-31.517
333,1504,2015-3-1,21:40:19,0.23,-1.43,-0.08,0,29990,5585.354043,0.7,2781,12.01422816,2.07,15,28553.18947,0.021428571,-31.86925
334,1607,2015-3-2,13:11:00,0.26,-1.34,0.05,0,29944,5576.786978,0.7,2610,11.27548922,2.04,17,23817.4922,0.024285714,-32.2215
335,1452,2015-3-2,22:59:36,0.24,-1.32,-0.09,0,29986,5584.609081,0.3,3582,15.47463692,2.11,15,16215.52287,0.05,-32.57375
336,1600,2015-3-3,4:42:22,0.26,-1.34,0.01,0,28573,5321.451186,0.65,2602,11.24092833,2.04,18,20904.40257,0.027692308,-32.926
337,1434,2015-3-3,11:26:50,0.23,-1.37,-0.06,0,28897,5381.793124,0.7,2657,11.47853442,2.11,17,24192.79048,0.024285714,-33.27825
338,1251,2015-3-3,16:54:55,0.27,-1.29,0,0,28818,5367.080121,0.7,2548,11.00764235,2.07,16,24629.19575,0.022857143,-33.6305
339,1683,2015-3-4,3:37:00,0.26,-1.27,0.15,0.8,28369,5283.458115,0.7,2544,10.9903619,1.97,15,26151.44069,0.021428571,-33.98275
340,1516,2015-3-5,1:45:31,0.22,-1.27,-0.18,0,30264,5636.383954,0.7,2698,11.65565897,2.04,16,26070.64442,0.022857143,-34.335
341,1518,2015-3-5,12:11:43,0.27,-1.32,0.11,0.2,30552,5690.021231,0.7,2600,11.23228811,2.04,16,25170.55208,0.022857143,-34.68725
342,1582,2015-3-6,1:23:30,0.23,-1.31,-0.04,0,30874,5749.990688,0.7,2778,12.00126783,2,15,28553.35166,0.021428571,-35.0395
343,1496,2015-3-6,9:24:40,0.26,-1.28,-0.09,0,29280,5453.123254,0.7,2599,11.227968,1.89,15,26726.8803,0.021428571,-35.39175
344,1418,2015-3-6,14:29:07,0.24,-1.37,-0.15,0,28810,5365.590196,0.7,2350,10.1522604,2.11,16,22790.70963,0.022857143,-35.744
345,1571,2015-3-6,23:09:51,0.25,-1.41,-0.19,0,29554,5504.153164,0.7,2542,10.98172168,2.15,16,24598.36199,0.022857143,-36.09625
346,1502,2015-3-7,4:37:43,0.25,-1.48,0.03,0,29478,5489.998883,0.7,2528,10.92124013,2.11,11,35133.88499,0.015714286,-36.4485
347,196,2015-3-7,19:33:42,0.24,-1.46,0.04,0,29211,5440.272656,0.7,1849,7.987884889,2.04,7,40223.54256,0.01,-36.80075
348,1617,2015-3-8,11:08:27,0.25,-1.51,0.06,0,30336,5649.793273,0.7,3019,13.04241454,2.11,16,29053.21505,0.022857143,-37.153
349,9,2015-3-8,20:26:41,0.23,-1.47,-0.01,0,0,0,0,0,0,2.18,0,#DIV/0!,#DIV/0!,-37.50525
350,1602,2015-3-9,9:11:23,0.25,-1.37,-0.12,0.1,30327,5648.117108,0.9,3992,17.24588236,8.63,15,51851.82657,0.016666667,-37.8575
351,1588,2015-3-10,1:37:26,0.23,-1.24,0.21,0.2,29194,5437.106567,0.9,2985,12.89553077,1.82,18,32657.90112,0.02,-38.20975
352,1463,2015-3-10,7:54:35,0.23,-1.17,0.04,0,29742,5539.166387,1.1,3576,15.44871626,7.1,19,44937.89137,0.017272727,-38.562
353,1520,2015-3-10,16:20:52,0.24,-0.99,0.03,0,29513,5496.517302,1.1,3010,13.00353354,10.37,18,40030.9747,0.016363636,-38.91425
354,1574,2015-3-11,15:43:22,0.24,-0.91,0.13,0,31112,5794.315938,1.1,2798,12.08767005,7.24,18,37335.78691,0.016363636,-39.2665
355,1556,2015-3-12,0:30:06,0.23,-1,-0.22,0,31047,5782.210303,1.1,3298,14.24772545,1.89,23,34520.09562,0.020909091,-39.61875
356,1463,2015-3-12,5:53:45,0.27,-1.03,0.13,0,30828,5741.423623,1.1,3151,13.61266916,2.07,23,33020.81024,0.020909091,-39.971
357,1548,2015-3-12,11:15:55,0.24,-0.93,0.06,0,30191,5622.788393,1.1,2777,11.99694772,7.43,20,33431.12056,0.018181818,-40.32325
358,1532,2015-3-12,18:22:35,0.23,-0.99,0.01,0,31971,5954.296569,1.1,2604,11.24956855,2.18,16,39070.10654,0.014545455,-40.6755
359,1520,2015-3-13,0:49:23,0.23,-1.05,-0.05,0,32409,6035.86993,1.1,2089,9.024711483,2.11,16,31571.56443,0.014545455,-41.02775
360,1557,2015-3-13,15:17:26,0.24,-0.98,0,0,31348,5838.268708,1.1,2063,8.912388602,2.04,16,31156.39842,0.014545455,-41.38
361,1505,2015-3-13,22:37:40,0.25,-1.03,0,0,31113,5794.502179,1.1,2134,9.21911647,2.11,21,24771.66904,0.019090909,-40.17933
362,1548,2015-3-14,3:27:08,0.25,-0.99,-0.09,0,25923,4827.913733,1.1,2752,11.88894495,2.11,31,21597.99661,0.028181818,-38.97867
363,1127,2015-3-14,9:41:51,0.26,-0.95,0,0,28020,5218.460163,1.1,2955,12.76592745,6.19,31,23197.40733,0.028181818,-37.778
364,1499,2015-3-14,22:52:33,0.26,-0.98,0.13,0,29175,5433.567996,1.1,3130,13.52194684,1.97,28,27079.32951,0.025454545,-36.57733
365,1530,2015-3-15,3:39:21,0.23,-1.1,0.13,0,28934,5388.684024,1.1,2978,12.86528999,2.11,26,27713.74392,0.023636364,-35.37667
366,1504,2015-3-15,7:54:08,0.24,-1.1,-0.02,0,26724,4977.092413,1.1,2802,12.10495049,2.11,28,24262.1111,0.025454545,-34.176
367,1057,2015-3-15,15:15:18,0.28,-1.09,0.04,0,28248,5260.923008,1.1,2603,11.24524844,2.11,20,31334.67499,0.018181818,-32.97533
368,1487,2015-3-15,19:09:51,0.24,-1.11,0,0,27563,5133.348233,1.1,2267,9.793691207,2.15,27,20530.35512,0.024545455,-31.77467
369,1565,2015-3-16,2:04:46,0.26,-1.16,-0.01,0,27465,5115.096659,1.1,1751,7.564514029,2.07,28,15525.4047,0.025454545,-30.574
370,1576,2015-3-16,5:16:08,0.25,-1.13,-0.05,0,26330,4903.713637,1.1,1784,7.707077686,2.11,29,15249.31632,0.026363636,-29.37333
371,1541,2015-3-16,21:02:13,0.26,-1.25,-0.15,0,26360,4909.300853,1.1,2046,8.838946718,1.89,26,19259.40661,0.023636364,-28.17267
372,1517,2015-3-17,2:16:54,0.29,-1.21,0.14,0,25753,4796.25284,1.1,2607,11.26252888,7.28,26,24275.47242,0.023636364,-26.972
373,1476,2015-3-18,14:25:42,0.24,-1.18,-0.09,0,26328,4903.341155,1.1,2867,12.38575769,2.07,27,25675.829,0.024545455,-25.77133
374,1477,2015-3-19,3:57:47,0.3,-1.3,0.18,0,29009,5402.652065,1.1,2977,12.86096988,1.97,24,29934.55652,0.021818182,-24.57067
375,861,2015-3-21,22:26:06,0.29,-1.27,0.08,0,30179,5620.553507,1.1,3689,15.93688878,23.22,20,44074.85984,0.018181818,-23.37
377,879,2015-3-22,7:19:01,0.29,-1.28,-0.06,0,30179,5620.553507,1.1,3689,15.93688878,2.11,20,44074.85984,0.018181818,-24.6884
378,1523,2015-3-22,15:21:13,0.25,-1.22,-0.1,0,30220,5628.189369,1.1,2636,11.3878121,2.07,25,25633.39705,0.022727273,-25.3476
379,1437,2015-3-22,23:23:31,0.28,-1.29,-0.04,0,31875,5936.417477,1.1,3015,13.02513409,2.15,31,23779.45822,0.028181818,-26.0068
380,1535,2015-3-23,6:39:08,0.27,-1.28,-0.03,0,30730,5723.172049,1.1,2845,12.29071526,1.97,29,23938.10124,0.026363636,-26.666
381,1507,2015-3-23,12:08:32,0.24,-1.3,-0.01,0,29118,5422.952285,1.1,3075,13.28434074,2.11,27,27568.33536,0.024545455,-27.3252
382,1440,2015-3-23,22:20:31,0.29,-1.3,-0.07,0,29570,5507.133013,1.1,3016,13.0294542,2.15,28,26142.30666,0.025454545,-27.9844
383,1510,2015-3-24,2:55:41,0.29,-1.29,-0.06,0,29524,5498.565948,1.1,3413,14.7445382,2.11,30,27553.52465,0.027272727,-28.6436
384,1550,2015-3-24,10:22:21,0.24,-1.32,-0.07,0,28532,5313.815324,1.1,3253,14.05332047,2.07,27,29087.40501,0.024545455,-29.3028
385,1517,2015-3-24,14:31:34,0.3,-1.3,0.28,0,29294,5455.730622,1.1,3213,13.88051603,2.15,26,29835.70437,0.023636364,-29.962
386,1374,2015-3-24,21:16:06,0.25,-1.25,0.1,0,29688,5529.109398,1.1,3783,16.3429792,7.13,27,33708.49786,0.024545455,-30.6212
387,1540,2015-3-25,2:33:11,0.25,-1.24,0.13,0,30873,5749.804447,1.1,3951,17.06875781,6.33,25,37933.57655,0.022727273,-31.2804
388,1501,2015-3-25,13:07:24,0.24,-1.24,0.18,0,31321,5833.240213,1.1,3863,16.68858806,2.07,21,43997.29216,0.019090909,-31.9396
389,1506,2015-3-25,16:51:52,0.25,-1.29,0.18,0,31049,5782.582784,1.1,3938,17.01259637,2.18,21,44821.75912,0.019090909,-32.5988
390,1551,2015-3-26,1:47:58,0.25,-1.29,0.1,0,31145,5800.461877,1.04,4307,18.60671726,9.06,21,46315.28027,0.020192308,-33.258
391,1498,2015-3-26,5:29:59,0.25,-1.24,0.13,0,31490,5864.714866,1.1,4268,18.43823294,6.63,21,48504.75569,0.019090909,-33.9172
392,1504,2015-3-26,11:23:44,0.25,-1.25,0.18,0,31129,5797.482028,1.1,4037,17.44028734,2.18,18,53403.72899,0.016363636,-34.5764
393,1502,2015-3-26,17:53:17,0.25,-1.25,0.15,0,30978,5769.359705,1.1,4022,17.37548568,2.11,16,59723.7748,0.014545455,-35.2356
394,1524,2015-3-27,2:03:17,0.24,-1.18,0.08,0.3,33009,6147.614259,1.1,4431,19.142411,8.08,17,61956.72631,0.015454545,-35.8948
395,1529,2015-3-27,10:47:01,0.25,-1.2,0.01,0.4,31101,5792.267292,1.1,3745,16.17881499,7.94,15,59329.16463,0.013636364,-36.554
396,1523,2015-3-27,22:19:28,0.27,-1.06,-0.08,0,28286,5268.000149,1.1,3916,16.91755393,7.68,18,51738.5333,0.016363636,-37.2132
397,1532,2015-3-28,10:16:31,0.27,-1.07,0.34,0,28571,5321.078705,1.1,4029,17.40572646,8.74,21,45749.53144,0.019090909,-37.8724
398,1472,2015-3-28,17:09:04,0.22,-1.14,-0.1,0,30942,5762.655045,1.1,3784,16.34729931,2.18,19,47533.82089,0.017272727,-38.5316
399,1521,2015-3-28,22:29:54,0.28,-1.12,-0.15,0.5,30368,5655.752971,1.1,4056,17.52236945,2.15,22,44061.08686,0.02,-39.1908
400,1503,2015-3-29,2:29:45,0.29,-1.17,-0.17,0,31214,5813.312474,1.1,3719,16.0664921,9.39,30,29991.55758,0.027272727,-39.85
401,1515,2015-3-29,6:02:53,0.3,-1.12,0.12,0,33343,6209.818602,1.1,3719,16.0664921,8.95,30,30063.49738,0.027272727,-40.451
402,1832,2015-3-29,11:58:20,0.22,-1.17,-0.21,0,28245,5260.364287,1.05,3064,13.23681952,2.18,30,23711.15056,0.028571429,-41.052
403,1512,2015-3-29,16:42:19,0.28,-1.21,0.08,0,31631,5890.974783,1.1,3082,13.31458152,2.11,23,32347.67126,0.020909091,-41.653
404,1526,2015-3-29,23:00:32,0.27,-1.19,-0.01,1.2,32740,6097.515551,1.1,4456,19.25041377,5.1,20,53113.21622,0.018181818,-42.254
405,1525,2015-3-30,3:17:13,0.25,-1.21,0.05,0.7,31644,5893.39591,1.1,3486,15.05990629,7.43,21,39817.68581,0.019090909,-42.855
406,1506,2015-3-30,13:47:26,0.25,-1.22,0.17,0.1,29647,5521.473535,1.1,3474,15.00806496,2.11,27,31035.70185,0.024545455,-43.491
407,1494,2015-3-30,16:45:45,0.24,-1.24,0.06,0.2,30984,5770.477148,1.1,3341,14.43349022,2.11,26,31041.97561,0.023636364,-44.127
408,1507,2015-3-30,22:13:44,0.27,-1.21,-0.05,0,30940,5762.282564,1.1,3247,14.0273998,8.45,30,26309.75782,0.027272727,-44.763
409,1508,2015-3-31,2:34:39,0.27,-1.2,0.12,0,32179,5993.034603,1.1,3034,13.1072162,1.97,29,25508.3456,0.026363636,-45.399
410,1456,2015-3-31,6:44:22,0.24,-1.19,-0.07,0,32699,6089.879689,1.1,3321,14.347088,2.04,37,22056.31456,0.033636364,-46.035
411,1571,2015-3-31,18:14:33,0.25,-1.24,-0.03,0,31036,5780.161657,1.1,2603,11.24524844,2.11,29,22000.55618,0.026363636,-43.899
412,1540,2015-4-1,0:31:43,0.28,-1.2,-0.08,0,32445,6042.574589,1.1,3251,14.04468024,2.18,27,29202.33624,0.024545455,-41.763
413,1533,2015-4-1,4:12:10,0.27,-1.16,-0.05,0,31116,5795.060901,1.1,3453,14.91734263,2.04,25,33291.97701,0.022727273,-39.627
414,1470,2015-4-1,20:03:51,0.26,-1.28,0.11,0,27757,5169.478899,1.1,2955,12.76592745,1.86,27,26484.90559,0.024545455,-37.491
415,1531,2015-4-2,16:06:47,0.24,-1.16,0.06,0,28737,5351.994636,1.1,3643,15.73816368,2.07,19,45727.05954,0.017272727,-35.355
416,1556,2015-4-3,0:07:11,0.25,-1.18,0.18,0,29171,5432.823034,1.1,3234,13.97123836,2.15,23,33807.1765,0.020909091,-34.893
417,1522,2015-4-3,5:18:37,0.23,-1.14,0.19,0.5,29230,5443.811227,1.1,3463,14.96054374,2.11,22,37730.78942,0.02,-34.431
418,1500,2015-4-3,11:00:49,0.24,-1.12,-0.14,0,30504,5681.081685,1.1,3218,13.90211659,2.11,19,40565.43581,0.017272727,-33.969
419,1506,2015-4-3,15:28:21,0.27,-1.09,0.08,0.2,30762,5729.131747,1.1,3620,15.63880113,2.15,20,43289.24607,0.018181818,-33.507
420,1495,2015-4-3,18:36:46,0.26,-1.03,-0.14,0,29950,5577.904421,1.1,3462,14.95622363,2.11,26,32093.35676,0.023636364,-33.045
421,1509,2015-4-3,23:36:49,0.26,-1.04,-0.16,0,29084,5416.620107,1.1,2903,12.54128168,2.04,28,25183.85102,0.025454545,-33.564
422,1514,2015-4-4,4:26:40,0.26,-1.04,0.12,0,30828,5741.423623,1.1,2764,11.94078628,2.15,25,26849.07367,0.022727273,-34.083
423,1502,2015-4-4,12:13:17,0.25,-1.11,0.13,0,31126,5796.923306,1.1,3343,14.44213044,2.18,18,44403.82686,0.016363636,-34.602
424,1486,2015-4-4,16:45:40,0.24,-1.13,-0.1,0,32758,6100.867881,1.1,3427,14.80501975,2.04,22,37468.03511,0.02,-35.121
425,1477,2015-4-6,9:47:34,0.28,-1.05,0.14,0,29544,5502.290759,1.1,3178,13.72931216,2.04,25,30671.19197,0.022727273,-35.64
426,261,2015-4-6,18:29:13,0.26,-0.99,-0.17,0,27430,5108.57824,1.1,2898,12.51968113,16.93,26,26944.69473,0.023636364,-34.1785
427,1566,2015-4-6,20:04:16,0.28,-0.98,0.04,0,26917,5013.036838,1.1,3404,14.7056572,2.11,28,29287.25354,0.025454545,-32.717
428,1549,2015-4-6,23:57:19,0.27,-1,0.1,0,27117,5050.284948,1.1,3412,14.74021809,2.15,28,29360.70426,0.025454545,-31.2555
429,1516,2015-4-7,4:37:34,0.25,-0.99,0.14,0,27682,5155.510858,1.1,3738,16.14857421,2.11,28,32097.52078,0.025454545,-29.794
430,1522,2015-4-7,11:04:42,0.25,-0.98,0.1,0,26752,4982.307148,1.1,3855,16.65402717,2.15,27,34231.75379,0.024545455,-28.3325
431,1516,2015-4-7,16:09:00,0.26,-0.91,-0.03,0,27062,5040.041718,1.1,3550,15.33639338,1.97,29,29488.78144,0.026363636,-29.022
432,1529,2015-4-7,23:26:58,0.26,-0.8,-0.14,1.2,26168,4873.542668,1.1,3857,16.6626674,2.11,19,48269.34588,0.017272727,-29.7115
433,1525,2015-4-8,4:57:58,0.28,-0.71,0.2,0.1,26025,4846.910269,1.1,3329,14.38164889,2.11,29,27674.88718,0.026363636,-30.401
434,1545,2015-4-8,22:40:00,0.24,-0.7,0.15,0,25896,4822.885239,1.1,3489,15.07286662,2.04,28,29961.36278,0.025454545,-31.0905
435,1502,2015-4-9,3:19:21,0.24,-0.71,0.18,0,26006,4843.371699,1.1,3483,15.04694595,2.11,27,30990.47901,0.024545455,-31.78
436,1534,2015-4-9,7:13:44,0.24,-0.72,0.22,0,25989,4840.20561,1.1,3433,14.83094041,1.97,31,26728.02997,0.028181818,-31.4925
437,1499,2015-4-9,11:23:52,0.24,-0.75,-0.13,0,26769,4985.473237,1.1,3013,13.01649387,2.18,29,25156.50808,0.026363636,-31.205
438,1536,2015-4-9,14:58:12,0.28,-0.77,0.2,0,27644,5148.433717,1.1,3055,13.19793853,2.11,26,28361.4491,0.023636364,-30.9175
439,1500,2015-4-9,18:55:10,0.24,-0.78,0.11,0,27183,5062.576824,1.1,3222,13.91939703,2.15,29,26852.76158,0.026363636,-30.63
440,1525,2015-4-9,23:48:08,0.24,-0.77,0.09,0,27227,5070.771408,1.1,3106,13.41826418,2.11,29,25920.55145,0.026363636,-30.3425
441,1528,2015-4-10,4:28:42,0.25,-0.74,0.19,0,26297,4897.567698,1.1,3128,13.51330662,1.97,31,24441.84421,0.028181818,-28.971
442,1526,2015-4-10,8:36:57,0.25,-0.68,0.17,0,26858,5002.048646,1.1,3411,14.73589797,2,32,25789.10685,0.029090909,-27.5995
443,1511,2015-4-10,14:25:22,0.26,-0.63,0.15,0,26038,4849.331396,1.1,3272,14.13540257,2.07,26,30255.3762,0.023636364,-26.228
444,1529,2015-4-10,18:38:51,0.24,-0.59,-0.25,0,25390,4728.647521,1.1,3768,16.27817753,2,31,29230.27712,0.028181818,-24.8565
445,1504,2015-4-11,0:19:46,0.28,-0.55,-0.02,0,24747,4608.894849,1.1,3576,15.44871626,2.04,28,30647.82,0.025454545,-23.485
446,1523,2015-4-11,11:15:14,0.26,-0.47,-0.14,0,26109,4862.554475,1.1,3669,15.85048656,8.34,26,33821.98371,0.023636364,-22.54
447,1515,2015-4-11,16:52:18,0.29,-0.46,0,0,25104,4675.382724,1.1,3696,15.96712956,1.97,29,30597.79004,0.026363636,-21.595
448,1368,2015-4-12,13:07:46,0.26,-0.41,0.21,0,24638,4588.594629,1.1,3776,16.31273842,1.93,25,36088.92368,0.022727273,-20.65
449,1643,2015-4-13,18:30:39,0.24,-0.36,0.03,0,27529,5127.016054,1.05,3595,15.53079836,2.11,19,43088.97736,0.018095238,-19.705
450,1529,2015-4-14,2:54:53,0.24,-0.32,-0.03,0,28142,5241.18151,1.1,3335,14.40756955,2.11,19,41923.02466,0.017272727,-18.76
451,1514,2015-4-14,12:10:16,0.25,-0.28,-0.13,1.7,28297,5270.048795,1.1,4221,18.23518773,2.18,22,45741.78861,0.02,-18.808
452,1462,2015-4-15,3:45:06,0.22,-0.21,-0.13,0.4,29032,5406.935598,1.1,3768,16.27817753,2,18,49844.47508,0.016363636,-18.856
453,1554,2015-4-17,10:13:33,0.23,-0.27,0.15,2.9,29369,5469.698663,1.1,3466,14.97350407,7.72,16,51557.91411,0.014545455,-18.904
454,1515,2015-4-18,8:43:31,0.18,-0.28,-0.05,2.7,30368,5655.752971,1.1,3083,13.31890163,2.04,15,49002.60702,0.013636364,-18.952
455,1459,2015-4-19,23:40:28,0.16,-0.28,0.01,2.2,31012,5775.691884,0.71,1824,7.879882118,2,11,26030.85988,0.015492958,-19
456,1509,2015-4-20,16:06:27,0.12,-0.21,0.07,1.4,32149,5987.447387,0.77,1801,7.78051957,2.11,8,37871.06866,0.01038961,-17.79
457,1459,2015-4-21,5:03:52,0.12,-0.16,-0.05,2.3,31729,5909.226357,1.1,2008,8.674782507,2.11,13,37127.20153,0.011818182,-16.58
458,1584,2015-4-21,16:57:17,0.1,-0.11,0.04,2.7,26209,4881.17853,1.1,1925,8.31621331,9.17,13,35450.35449,0.011818182,-15.37
459,1475,2015-4-22,13:32:22,0.08,-0.06,-0.03,0.7,26623,4958.282117,0.7,2442,10.5497106,9.86,10,37173.7273,0.014285714,-14.16
460,1539,2015-4-23,9:41:23,0.11,0.01,0.01,0.4,26816,4994.226543,0.68,3221,13.91507692,8.59,9,52548.99429,0.013235294,-12.95
461,1433,2015-5-5,17:29:34,0.12,0.03,0.07,0.1,20485,3815.137632,0.4,1805,7.797800013,2,10,16013.31424,0.025,-15.144
462,1799,2015-5-6,21:48:04,0.16,0.07,-0.04,2.3,16568,3085.633404,0.25,577,2.492703938,2.11,36,1410.128703,0.144,-17.338
463,1546,2015-5-7,19:42:14,0.12,0.04,0.08,2.8,19506,3632.808135,0.3,898,3.879459508,2.07,30,2564.70646,0.1,-19.532
464,1580,2015-5-7,23:18:15,0.12,-0.17,-0.05,7.8,16389,3052.296346,0.3,1294,5.590223389,10.27,45,2384.403027,0.15,-21.726
465,1521,2015-5-8,5:24:02,0.16,-0.12,-0.04,2,15271,2844.079413,0.3,1018,4.397872805,11.18,49,1838.606449,0.163333333,-23.92
466,1473,2015-5-8,16:08:23,0.15,-0.17,0.01,0.3,12214,2274.742057,0.3,812,3.507929978,1.97,52,1406.809588,0.173333333,-19.75667
467,1517,2015-5-9,6:41:47,0.15,-0.18,0.04,0.5,12326,2295.600998,0.3,687,2.967916127,2.04,48,1327.650978,0.16,-15.59333
468,1519,2015-5-9,18:03:36,0.14,-0.09,0,0.2,14928,2780.198905,0.3,553,2.389021278,2.11,26,1858.447155,0.086666667,-11.43
469,680,2015-5-9,23:44:38,0.08,0.15,-0.14,1.5,11922,2220.359817,0.34,454,1.961330308,2.11,25,1713.080806,0.073529412,-12
