管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
1,1439,15,37,0.8,16525,13
2,1806,17,35,0.8,18984,12
3,1731,14,38,0.8,15232,10
4,1775,17,39,0.8,16697,9
5,1733,16,39,0.8,16340,7
6,1678,17,32,0.8,21506,6
7,1790,17,31,0.8,21450,4
8,1566,17,24,0.8,27535,3
9,1767,18,25,0.8,28536,1
10,1716,16,34,0.8,18183,0
11,272,12,31,0.8,14816,2
12,2019,18,32,0.8,22070,3
13,2002,15,31,0.8,20345,4
14,2028,19,34,0.8,21861,6
15,2028,20,26,0.8,29372,7
16,1958,14,24,0.8,23801,7
17,1727,17,29,0.8,22635,8
18,1849,14,32,0.8,17229,8
19,1950,14,39,0.8,14187,8
20,1789,18,39,0.9,22832,8
21,1986,14,37,1.0,19356,8
22,1936,16,32,1.0,25072,8
23,1666,12,27,1.0,22744,7
24,1835,14,35,1.0,20398,7
25,1929,16,43,1.0,18865,6
26,1964,17,43,1.0,20241,7
27,1800,17,33,1.0,26287,8
28,1767,15,25,1.0,30351,8
29,2182,15,30,1.0,25718,9
30,1798,16,35,1.0,22676,10
31,1860,15,31,1.0,23297,10
32,1689,11,30,1.0,18465,10
33,1779,17,27,1.0,30870,10
34,2308,14,24,1.0,28679,10
35,1733,17,38,1.0,21619,10
36,1870,16,35,1.0,22406,9
37,1863,14,32,1.0,22262,9
38,1786,21,41,1.0,25144,9
39,1574,18,43,0.9,21006,8
40,1361,16,35,1.0,23428,8
41,1517,20,42,0.9,22718,7
42,1882,17,39,1.0,22130,7
43,1839,16,43,1.0,18793,6
44,2020,19,46,1.0,20551,6
45,1964,15,29,1.0,25162,5
46,1719,16,40,1.0,19987,5
47,1964,18,26,1.0,33790,5
48,2098,17,36,1.0,23152,5
49,1913,12,32,1.0,19925,5
50,2002,15,38,1.0,19692,5
51,1997,16,39,1.0,20444,4
52,1989,16,44,1.0,18646,4
53,1814,14,45,1.0,15737,3
54,1818,16,45,1.0,17551,3
55,1849,16,45,1.0,18212,2
56,1636,17,45,1.0,18503,1
57,1837,14,35,1.0,19684,1
58,1778,17,29,0.9,28180,0
59,1856,17,53,1.0,15562,1
62,1566,11,31,1.0,17862,3
63,1728,11,27,1.0,20156,3
64,1604,10,21,1.0,23422,3
65,1748,11,49,1.0,11935,4
66,1747,12,52,1.0,11477,4
67,1880,13,52,1.0,12567,4
68,1826,15,29,1.0,25498,4
69,1811,14,51,1.0,14176,5
70,1905,14,52,1.0,13995,5
71,384,3,12,1.0,14343,5
72,1680,13,50,1.0,13016,6
73,1982,14,53,1.0,13437,7
74,1968,13,49,1.0,13774,7
75,1660,12,51,1.0,11769,8
76,1429,13,52,1.0,12931,8
77,1733,12,49,1.0,12546,8
78,1783,15,52,1.0,14488,9
79,1885,16,51,1.0,15808,9
80,1800,16,52,1.0,15336,9
81,1854,15,50,1.0,14836,10
82,1831,12,43,1.0,14376,11
83,1697,13,48,1.0,14223,12
84,1764,14,52,1.0,13274,13
85,1887,13,47,1.0,13873,14
86,1958,13,46,1.0,14315,13
87,1454,13,4,1.0,162999,11
88,1863,15,55,1.0,14012,10
89,1801,14,51,1.0,13619,8
90,1940,14,50,1.0,13701,6
91,1943,13,51,1.0,13234,6
92,1871,14,54,1.0,13403,6
93,1919,15,53,1.0,14589,5
94,1879,16,50,1.0,16012,5
95,1828,14,51,1.0,13624,4
96,1907,14,52,1.0,14083,4
97,1675,11,52,1.0,11010,4
98,1936,13,50,1.0,13498,4
99,1969,13,48,1.0,13510,3
100,1812,14,51,1.0,14152,4
101,1901,12,48,1.0,13147,5
102,2000,12,52,1.0,11708,5
103,1756,14,50,1.0,13753,6
104,1874,14,50,1.0,14321,6
105,1829,14,53,1.0,13406,7
106,1793,18,52,1.0,17248,7
107,2070,16,48,1.0,16816,7
108,2025,16,52,1.0,15143,8
109,1722,11,43,1.0,13666,8
110,1877,14,51,1.0,13722,8
111,2139,14,46,1.0,14943,8
112,1974,14,49,1.0,14290,9
113,1894,14,46,1.0,15338,9
114,1831,15,44,1.0,17173,9
115,1922,15,46,1.0,15890,10
116,1761,13,48,1.0,14236,10
117,1722,15,52,1.0,14658,11
118,1950,18,46,1.0,19028,11
119,2101,17,46,1.0,18248,12
120,1868,15,41,1.0,18818,13
121,1786,13,57,1.0,11359,14
122,1860,12,46,1.0,13367,15
123,1952,12,43,1.0,13939,16
124,2086,14,49,1.0,14218,18
125,1871,11,43,1.0,13563,17
126,2014,16,55,1.0,15003,17
127,2045,16,58,1.0,14112,17
128,1772,14,54,1.0,13348,16
129,1971,15,55,1.0,13593,16
130,1879,15,52,1.0,14598,15
131,1961,17,50,1.0,16555,14
132,1839,15,51,1.0,15076,13
133,2072,15,49,1.0,15394,12
134,565,18,51,0.9,17670,11
135,2118,15,50,1.0,14908,11
136,1902,13,52,1.0,12823,10
137,1926,14,54,1.0,13026,10
138,1845,13,52,1.0,12435,9
139,1776,13,55,1.0,12462,9
140,1709,11,51,1.0,11298,8
141,1783,14,51,1.0,13702,8
142,1781,14,52,1.0,13563,7
143,1961,16,55,1.0,14800,6
144,1932,15,57,1.0,13625,6
145,1876,15,64,1.0,11767,6
146,1797,15,58,1.0,13002,6
147,1936,16,57,0.9,14266,6
148,2055,16,54,1.0,15024,6
149,2137,16,34,1.0,23647,6
150,1916,13,52,1.0,12699,5
151,1899,12,50,1.0,12257,5
152,1863,15,50,1.0,15486,5
153,1910,15,45,1.0,17161,5
154,1954,14,34,1.0,20276,5
155,1908,16,59,1.0,13634,5
156,1968,16,55,1.0,14189,5
157,2150,14,55,1.0,12337,5
158,2137,16,54,1.0,14711,4
159,1887,12,45,1.0,14097,4
160,1851,12,45,1.0,13655,4
161,1436,7,31,1.0,11643,4
162,1825,12,49,1.0,12699,5
163,1851,14,52,1.0,13663,5
164,1999,15,48,1.0,15472,5
165,1848,12,47,1.0,13450,4
166,1807,15,36,1.0,21195,4
167,1783,14,49,1.0,14277,3
168,1758,11,40,1.0,13428,2
169,1714,13,58,1.0,11450,2
170,1653,13,57,1.0,11634,2
171,1870,15,57,1.0,13350,2
172,1672,11,53,1.0,11010,2
173,1852,17,43,1.0,19822,1
174,1868,16,50,1.0,15954,1
175,1725,12,48,1.0,12587,1
176,1784,13,45,1.0,14695,1
177,1789,13,49,1.0,13636,1
178,1801,14,49,1.0,14160,1
179,1873,15,49,1.0,15099,1
180,1894,14,52,1.0,13737,1
181,1952,13,49,1.0,13329,2
182,2160,18,53,1.0,17109,2
183,2067,18,51,0.9,17253,2
184,1938,15,53,1.0,13859,2
185,1941,12,48,1.0,13198,2
186,1961,12,48,1.0,12486,2
187,1527,9,44,1.0,11198,2
188,1898,12,47,1.0,13647,2
189,2132,11,34,1.0,17082,3
190,2050,17,38,0.9,21192,3
191,2576,13,40,1.0,17031,3
192,2003,13,50,1.0,13378,3
193,2168,20,37,1.0,26380,3
194,2229,14,45,1.0,15349,3
195,2196,14,46,1.0,15247,3
196,2347,15,42,1.0,17690,3
197,2232,14,46,1.0,14918,3
198,1887,12,46,1.0,13701,2
199,2005,13,46,1.0,14311,2
200,1811,13,47,1.0,13946,2
201,1840,11,43,1.0,13525,2
202,1674,11,43,1.0,12995,2
203,1851,14,42,1.0,16342,2
204,422,13,18,1.0,36242,2
205,2174,14,39,1.0,18163,3
206,481,14,48,1.0,14838,3
207,893,9,21,1.0,21738,3
208,1834,12,49,1.0,12431,2
209,1751,10,39,1.0,12834,2
210,1767,11,44,1.0,12454,2
211,1814,14,48,1.0,14571,2
212,1817,14,54,1.0,13554,2
213,1795,10,41,1.0,13087,2
214,1870,13,37,1.0,17242,3
215,1999,14,43,1.0,16161,3
216,1828,15,49,1.0,15785,4
217,1803,12,33,1.0,18004,4
218,1520,13,19,1.0,34175,4
219,1587,14,19,1.0,35700,4
220,1641,8,21,1.0,18017,4
221,1510,8,22,1.0,18164,4
222,1765,11,28,1.0,19412,3
223,1866,20,22,1.0,44758,3
224,1719,17,17,0.9,46294,3
225,1815,11,28,1.0,19009,2
226,1932,11,41,1.0,13800,2
227,1910,11,43,1.0,12892,1
228,1653,10,44,1.0,11332,2
229,1675,11,43,1.0,12874,2
230,1913,14,42,1.0,16521,2
231,1876,14,40,1.0,17662,3
232,1994,12,38,1.0,16835,3
233,2002,16,35,1.0,22433,3
234,1737,13,40,1.0,16860,3
235,1787,14,39,1.0,17694,3
236,1702,12,43,1.0,14702,3
237,1700,13,51,1.0,12981,4
238,2072,17,49,1.0,17564,4
239,2002,14,39,1.0,18067,4
240,2030,14,38,1.0,18871,4
241,1415,11,42,1.0,12863,4
242,1709,13,51,1.0,13103,5
243,1840,11,44,1.0,12648,4
244,1742,7,1,1.0,517694,4
245,1678,12,44,1.0,14059,4
246,1765,11,45,1.0,12925,4
247,1587,11,46,1.0,12152,4
248,1716,13,48,1.0,13686,4
249,1787,12,39,1.0,15554,4
250,1638,13,46,1.0,14482,4
251,1649,14,53,1.0,13287,4
252,1943,14,42,1.0,16399,4
253,1831,12,43,1.0,14626,4
254,1562,11,41,1.0,13482,4
255,1834,15,48,1.0,15994,4
256,1986,13,46,1.0,14638,4
257,1691,15,49,1.0,14999,4
258,1667,14,47,1.0,14495,4
259,1730,14,46,1.0,15383,4
260,1866,15,48,1.0,16001,4
261,1650,14,54,1.0,12861,5
262,1545,12,51,1.0,12041,5
263,311,6,4,1.0,78203,5
264,1731,12,50,1.0,12435,5
265,1748,11,49,1.0,11818,5
266,1770,12,58,1.0,10921,5
267,1852,13,50,1.0,13472,5
268,1882,13,52,1.0,12615,5
269,2005,15,43,1.0,17224,5
270,1964,16,50,1.0,16134,4
271,1854,14,53,1.0,13727,4
272,2008,12,48,1.0,12644,4
273,2008,12,49,1.0,13038,6
274,1913,13,50,1.0,12768,7
275,1568,11,47,1.0,11590,8
276,1811,12,49,1.0,12912,9
277,1888,15,60,1.0,12926,11
278,1966,16,55,1.0,14905,11
279,1946,16,59,1.0,13401,11
280,2062,12,49,1.0,12738,11
281,1978,13,57,1.0,12076,11
282,1658,10,50,1.0,10434,11
283,1765,13,57,1.0,11355,10
284,2045,15,48,1.0,15377,10
285,1619,12,54,1.0,11662,9
286,1580,11,51,1.0,10506,9
287,1699,15,48,1.0,15306,7
288,1793,13,52,1.0,12271,5
289,546,10,7,1.0,71392,4
290,1947,16,60,1.0,13848,2
291,1994,15,57,1.0,13608,0
292,1910,16,60,1.0,13663,1
293,1960,14,49,1.0,14287,2
294,294,11,52,1.0,10524,3
295,1744,11,56,1.0,10393,4
296,1832,12,51,1.0,12376,5
297,1946,12,49,1.0,12154,4
298,1653,12,63,1.0,10211,3
299,1807,12,49,1.0,12263,2
300,2005,12,45,1.0,13448,1
301,1994,13,50,1.0,13124,0
302,250,7,1,1.0,334166,1
303,1866,13,51,1.0,12804,2
304,1871,14,51,1.0,13753,3
305,1946,12,50,1.0,12641,4
306,1672,13,53,1.0,12694,5
307,1918,12,51,1.0,12193,6
308,1835,12,44,1.0,13949,6
309,2038,15,47,1.0,16255,6
310,1898,14,51,1.0,14351,6
311,1807,15,51,1.0,15277,6
312,1944,16,51,1.0,15356,6
313,1935,14,49,1.0,14065,7
314,1949,14,48,1.0,14380,7
315,2097,17,33,1.0,25576,8
316,2145,13,49,1.0,13673,8
317,1983,12,51,1.0,12459,8
318,1907,11,48,1.0,12169,8
319,2013,11,47,1.0,12189,7
320,1891,12,51,1.0,12440,7
321,2041,12,49,1.0,12827,7
322,1818,11,48,1.0,11822,6
323,1940,13,52,1.0,13035,6
324,1924,12,53,1.0,11749,6
325,1809,11,47,1.0,12400,6
326,1755,11,51,1.0,11373,5
327,1837,11,49,1.0,11479,6
328,1811,11,44,1.0,12978,6
329,1940,9,17,1.0,27023,6
330,1938,14,50,1.0,14573,7
332,2218,15,51,1.0,14585,8
333,1940,11,56,1.0,10493,8
334,1887,13,54,1.0,11970,8
335,1926,10,49,1.0,10773,8
336,1837,12,55,1.0,11304,9
337,1991,16,53,1.0,14860,7
338,1913,15,51,1.0,15201,5
339,2027,12,49,1.0,12470,4
340,1974,15,50,1.0,15028,2
341,2038,14,53,1.0,13248,0
342,2142,14,44,1.0,16073,1
344,2027,9,48,1.0,9814,2
345,1992,10,47,1.0,11000,2
346,2137,11,48,1.0,11808,3
347,2027,11,48,1.0,11945,3
348,2109,14,54,1.0,12933,3
349,2066,12,47,1.0,13224,3
350,1912,10,53,1.0,9851,3
351,1964,12,51,1.0,11906,3
352,1997,13,54,1.0,12410,3
353,2080,12,44,1.0,13967,3
354,1932,13,48,1.0,14129,3
355,1848,11,52,1.0,10701,3
356,2019,14,48,1.0,15033,3
357,2182,15,54,1.0,14416,3
358,2142,10,27,1.0,18581,3
359,2083,12,46,1.0,13311,3
360,1963,11,51,1.0,11350,2
361,1957,11,51,1.0,10927,2
362,1972,13,54,1.0,12405,2
363,1884,15,44,1.0,16820,2
364,2176,13,43,1.0,15670,2
365,2072,14,45,1.0,16307,2
366,2044,12,47,1.0,13128,2
367,1971,11,44,1.0,13483,2
368,2151,13,43,1.0,15457,2
369,1989,15,42,1.0,17754,2
370,2162,16,50,1.0,15962,3
371,1944,14,50,1.0,14479,3
372,1980,14,51,1.0,13534,3
373,2076,14,48,1.0,15062,3
374,2069,14,36,1.0,19488,3
375,1755,10,48,1.0,11027,3
376,1809,10,54,1.0,10008,3
377,1907,8,39,1.0,10527,3
378,1968,12,50,1.0,11940,4
380,2042,14,49,1.0,14424,4
381,2117,14,47,1.0,14710,5
382,2248,14,44,1.0,16828,5
383,2134,15,50,1.0,14893,4
384,2112,12,51,1.0,12277,4
385,2086,13,47,1.0,14371,4
386,1591,10,14,1.0,36601,4
387,2108,13,44,1.0,15221,5
388,2117,14,47,1.0,14688,5
389,2125,14,50,1.0,14490,5
390,2038,14,49,1.0,14208,5
391,2103,14,48,1.0,14849,5
392,474,14,50,1.0,13524,6
393,2047,15,49,1.0,14973,6
394,2011,14,49,1.0,13895,6
395,1964,13,49,1.0,13247,6
396,1955,12,48,1.0,12485,6
397,1783,9,50,1.0,9632,6
398,1770,11,50,1.0,11281,6
399,1978,11,45,1.0,12528,6
400,2014,11,49,1.0,11440,6
401,1658,11,48,1.0,11816,6
402,1649,11,51,1.0,10796,6
403,1849,14,50,1.0,14014,6
404,2076,16,51,1.0,15481,6
405,1842,14,54,1.0,13165,6
406,2031,12,45,1.0,13685,6
407,2089,13,49,1.0,13356,6
408,1882,11,51,1.0,10775,6
409,1935,13,51,1.0,12818,6
410,1971,11,48,1.0,12101,6
411,1980,12,53,1.0,11406,6
412,1974,13,58,1.0,11623,6
413,2098,14,47,1.0,15152,5
414,1946,11,56,1.0,10171,5
415,1944,12,52,1.0,11886,5
416,1803,12,56,1.0,11100,5
417,1812,12,55,1.0,10974,5
418,1829,13,56,1.0,11804,5
419,2058,17,55,1.0,14963,5
420,2052,17,54,1.0,15229,5
421,2176,16,56,1.0,14209,5
422,2170,17,53,1.0,15531,5
423,1924,13,50,1.0,13487,5
424,1839,10,2,1.0,310778,5
425,2064,15,43,1.0,17786,5
426,2024,14,40,0.9,17440,5
427,2190,15,29,1.0,24953,5
428,2216,17,31,0.9,26757,4
429,2185,14,25,1.0,28086,4
430,2255,13,23,1.0,28586,3
431,2248,20,45,0.7,16871,3
432,2199,18,39,0.7,17741,3
433,2204,18,45,0.7,15377,3
434,2187,20,40,0.7,19021,3
435,2160,16,50,0.7,12606,3
436,2220,18,49,0.7,14006,3
437,2244,18,46,0.8,15119,3
438,2244,17,46,0.7,14193,3
439,2187,16,47,0.8,13393,3
440,2209,16,46,0.8,13314,3
441,2237,17,35,0.7,18870,3
442,2101,17,44,0.7,15188,3
443,2108,19,49,0.7,14963,3
444,2100,21,49,0.7,16758,3
445,1877,17,46,0.8,14480,3
446,2084,20,48,0.7,15716,3
447,2162,13,37,0.8,13980,3
448,2041,16,57,0.8,11367,3
449,2033,15,53,0.8,11584,3
450,2090,16,42,0.8,14694,3
451,2210,12,18,0.8,25741,3
452,2098,14,31,0.8,18195,3
